ID,LICENSE ID,ACCOUNT NUMBER,SITE NUMBER,LEGAL NAME,DOING BUSINESS AS NAME,ADDRESS,CITY,STATE,ZIP CODE,WARD,PRECINCT,WARD PRECINCT,POLICE DISTRICT,LICENSE CODE,LICENSE DESCRIPTION,BUSINESS ACTIVITY ID,BUSINESS ACTIVITY,LICENSE NUMBER,APPLICATION TYPE,APPLICATION CREATED DATE,APPLICATION REQUIREMENTS COMPLETE,PAYMENT DATE,CONDITIONAL APPROVAL,LICENSE TERM START DATE,LICENSE TERM EXPIRATION DATE,LICENSE APPROVED FOR ISSUANCE,DATE ISSUED,LICENSE STATUS,LICENSE STATUS CHANGE DATE,SSA,LATITUDE,LONGITUDE,LOCATION
2528614-20170724,2528614,416260,1,"SUSHI CONCEPTS CHICAGO, LLC",KATANA,339 N DEARBORN ST 1 & MEZZ,CHICAGO,IL,60654,42,27,42-27,18,1481,Caterer's Liquor License,630,Catering of Liquor To Events,2528614,ISSUE,04/26/2017,07/11/2017,06/09/2017,N,07/24/2017,08/15/2019,07/24/2017,07/24/2017,AAI,,,41.888582437,-87.629417014,"(41.888582436775486, -87.62941701356087)"
2528612-20170724,2528612,416260,1,"SUSHI CONCEPTS CHICAGO, LLC",KATANA,339 N DEARBORN ST 1 & MEZZ,CHICAGO,IL,60654,42,27,42-27,18,1475,Consumption on Premises - Incidental Activity,638,Consumption of Liquor on Premises,2528612,ISSUE,04/26/2017,07/11/2017,06/09/2017,N,07/24/2017,08/15/2019,07/24/2017,07/24/2017,AAI,,,41.888582437,-87.629417014,"(41.888582436775486, -87.62941701356087)"
2528613-20190916,2682629,416260,1,"SUSHI CONCEPTS CHICAGO, LLC",KATANA,339 N DEARBORN ST 1 & MEZZ,CHICAGO,IL,60654,42,27,42-27,18,1050,Public Place of Amusement,746,"Public Place of Amusement, Provides Entertainment, Room Rentals and Charges a Fee",2528613,RENEW,,07/15/2019,07/23/2019,N,09/16/2019,08/15/2021,09/17/2019,09/17/2019,AAC,04/16/2020,,41.888582437,-87.629417014,"(41.888582436775486, -87.62941701356087)"
2528614-20190816,2676088,416260,1,"SUSHI CONCEPTS CHICAGO, LLC",KATANA,339 N DEARBORN ST 1 & MEZZ,CHICAGO,IL,60654,42,27,42-27,18,1481,Caterer's Liquor License,630,Catering of Liquor To Events,2528614,RENEW,,06/15/2019,07/23/2019,N,08/16/2019,08/15/2021,07/23/2019,07/24/2019,AAC,04/16/2020,,41.888582437,-87.629417014,"(41.888582436775486, -87.62941701356087)"
2528615-20190816,2676089,416260,1,"SUSHI CONCEPTS CHICAGO, LLC",KATANA,339 N DEARBORN ST 1 & MEZZ,CHICAGO,IL,60654,42,27,42-27,18,1477,Outdoor Patio,784,Sale of Liquor Outdoors on Private Property,2528615,RENEW,,06/15/2019,07/23/2019,N,08/16/2019,08/15/2021,07/23/2019,07/24/2019,AAC,04/16/2020,,41.888582437,-87.629417014,"(41.888582436775486, -87.62941701356087)"
2528612-20190816,2676090,416260,1,"SUSHI CONCEPTS CHICAGO, LLC",KATANA,339 N DEARBORN ST 1 & MEZZ,CHICAGO,IL,60654,42,27,42-27,18,1475,Consumption on Premises - Incidental Activity,638,Consumption of Liquor on Premises,2528612,RENEW,,06/15/2019,07/23/2019,N,08/16/2019,08/15/2021,07/23/2019,07/24/2019,AAC,04/16/2020,,41.888582437,-87.629417014,"(41.888582436775486, -87.62941701356087)"
2528611-20190816,2676091,416260,1,"SUSHI CONCEPTS CHICAGO, LLC",KATANA,339 N DEARBORN ST 1 & MEZZ,CHICAGO,IL,60654,42,27,42-27,18,1006,Retail Food Establishment,735,Preparation of Food and Dining on Premise With Seating,2528611,RENEW,,06/15/2019,07/23/2019,N,08/16/2019,08/15/2021,07/23/2019,07/24/2019,AAC,04/16/2020,,41.888582437,-87.629417014,"(41.888582436775486, -87.62941701356087)"
2528613-20170822,2528613,416260,1,"SUSHI CONCEPTS CHICAGO, LLC",KATANA,339 N DEARBORN ST 1 & MEZZ,CHICAGO,IL,60654,42,27,42-27,18,1050,Public Place of Amusement,746,"Public Place of Amusement, Provides Entertainment, Room Rentals and Charges a Fee",2528613,ISSUE,04/26/2017,06/09/2017,06/09/2017,N,08/22/2017,09/15/2019,08/22/2017,08/22/2017,AAI,,,41.888582437,-87.629417014,"(41.888582436775486, -87.62941701356087)"
2528611-20170724,2528611,416260,1,"SUSHI CONCEPTS CHICAGO, LLC",KATANA,339 N DEARBORN ST 1 & MEZZ,CHICAGO,IL,60654,42,27,42-27,18,1006,Retail Food Establishment,735,Preparation of Food and Dining on Premise With Seating,2528611,ISSUE,04/26/2017,06/09/2017,06/09/2017,N,07/24/2017,08/15/2019,07/24/2017,07/24/2017,AAI,,,41.888582437,-87.629417014,"(41.888582436775486, -87.62941701356087)"
2528615-20170724,2528615,416260,1,"SUSHI CONCEPTS CHICAGO, LLC",KATANA,339 N DEARBORN ST 1 & MEZZ,CHICAGO,IL,60654,42,27,42-27,18,1477,Outdoor Patio,784,Sale of Liquor Outdoors on Private Property,2528615,ISSUE,04/26/2017,07/11/2017,06/09/2017,N,07/24/2017,08/15/2019,07/24/2017,07/24/2017,AAI,,,41.888582437,-87.629417014,"(41.888582436775486, -87.62941701356087)"
2172509-20120717,2172509,373974,1,"KATANA INVESTMENT ADVISORS, LLC","KATANA INVESTMENT ADVISORS, LLC",350 N ORLEANS ST 2ND N,CHICAGO,IL,60654,42,9,42-9,18,1010,Limited Business License,,,2172509,ISSUE,07/11/2012,07/17/2012,07/17/2012,N,07/17/2012,08/15/2014,07/17/2012,07/17/2012,AAI,,,41.888741038,-87.637080541,"(41.888741038131876, -87.63708054058772)"
80711-20060516,1689291,67774,2,NACIONAL LLC,NACIONAL 27 / TALLBOY TACO,325 W HURON ST,CHICAGO,IL,60610,42,68,42-68,18,1006,Retail Food Establishment,775,Retail Sales of Perishable Foods,80711,RENEW,,03/27/2006,05/04/2006,N,05/16/2006,05/15/2007,05/04/2006,05/04/2006,AAI,,,41.894645646,-87.63678754,"(41.8946456460705, -87.63678754035266)"
80712-20060516,1689293,67774,2,NACIONAL LLC,NACIONAL 27 / TALLBOY TACO,325 W HURON ST,CHICAGO,IL,60610,42,68,42-68,18,1050,Public Place of Amusement,743,Provides Onsite Amusement or Entertainment,80712,RENEW,,03/27/2006,05/04/2006,N,05/16/2006,05/15/2007,05/04/2006,05/04/2006,AAI,,,41.894645646,-87.63678754,"(41.8946456460705, -87.63678754035266)"
80713-20070516,1811008,67774,2,NACIONAL LLC,NACIONAL 27 / TALLBOY TACO,325 W HURON ST,CHICAGO,IL,60610,42,68,42-68,18,1475,Consumption on Premises - Incidental Activity,638,Consumption of Liquor on Premises,80713,RENEW,,03/23/2007,05/02/2007,N,05/16/2007,05/15/2009,05/02/2007,05/03/2007,AAI,,,41.894645646,-87.63678754,"(41.8946456460705, -87.63678754035266)"
80712-20020516,1241082,67774,2,NACIONAL LLC,NACIONAL 27 / TALLBOY TACO,325 W HURON ST,CHICAGO,IL,60610,42,68,42-68,18,1050,Public Place of Amusement,743,Provides Onsite Amusement or Entertainment,80712,RENEW,03/27/2002,05/06/2002,05/08/2002,N,05/16/2002,05/15/2003,05/08/2002,05/09/2002,AAI,,,41.894645646,-87.63678754,"(41.8946456460705, -87.63678754035266)"
80713-20150516,2387437,67774,2,NACIONAL LLC,NACIONAL 27 / TALLBOY TACO,325 W HURON ST,CHICAGO,IL,60610,42,68,42-68,18,1475,Consumption on Premises - Incidental Activity,638,Consumption of Liquor on Premises,80713,RENEW,,03/15/2015,04/09/2015,N,05/16/2015,05/15/2017,04/09/2015,04/10/2015,AAI,,,41.894645646,-87.63678754,"(41.8946456460705, -87.63678754035266)"
80711-20050516,1587022,67774,2,NACIONAL LLC,NACIONAL 27 / TALLBOY TACO,325 W HURON ST,CHICAGO,IL,60610,42,68,42-68,18,1006,Retail Food Establishment,775,Retail Sales of Perishable Foods,80711,RENEW,,03/23/2005,04/25/2005,N,05/16/2005,05/15/2006,04/25/2005,04/25/2005,AAI,,,41.894645646,-87.63678754,"(41.8946456460705, -87.63678754035266)"
80712-20190516,2654258,67774,2,NACIONAL LLC,NACIONAL 27 / TALLBOY TACO,325 W HURON ST,CHICAGO,IL,60610,42,68,42-68,18,1050,Public Place of Amusement,743,Provides Onsite Amusement or Entertainment,80712,RENEW,,03/15/2019,04/26/2019,N,05/16/2019,05/15/2021,04/26/2019,04/29/2019,AAI,,,41.894645646,-87.63678754,"(41.8946456460705, -87.63678754035266)"
80712-20030516,1349703,67774,2,NACIONAL LLC,NACIONAL 27 / TALLBOY TACO,325 W HURON ST,CHICAGO,IL,60610,42,68,42-68,18,1050,Public Place of Amusement,743,Provides Onsite Amusement or Entertainment,80712,RENEW,03/25/2003,05/02/2003,05/02/2003,N,05/16/2003,05/15/2004,05/02/2003,05/02/2003,AAI,,,41.894645646,-87.63678754,"(41.8946456460705, -87.63678754035266)"
80712-20090516,1961423,67774,2,NACIONAL LLC,NACIONAL 27 / TALLBOY TACO,325 W HURON ST,CHICAGO,IL,60610,42,68,42-68,18,1050,Public Place of Amusement,743,Provides Onsite Amusement or Entertainment,80712,RENEW,,03/16/2009,04/13/2009,N,05/16/2009,05/15/2011,04/16/2009,04/16/2009,AAI,,,41.894645646,-87.63678754,"(41.8946456460705, -87.63678754035266)"
80713-20060516,1689292,67774,2,NACIONAL LLC,NACIONAL 27 / TALLBOY TACO,325 W HURON ST,CHICAGO,IL,60610,42,68,42-68,18,1475,Consumption on Premises - Incidental Activity,638,Consumption of Liquor on Premises,80713,RENEW,,03/27/2006,05/04/2006,N,05/16/2006,05/15/2007,05/04/2006,05/04/2006,AAI,,,41.894645646,-87.63678754,"(41.8946456460705, -87.63678754035266)"
80712-20130516,2242223,67774,2,NACIONAL LLC,NACIONAL 27 / TALLBOY TACO,325 W HURON ST,CHICAGO,IL,60610,42,68,42-68,18,1050,Public Place of Amusement,743,Provides Onsite Amusement or Entertainment,80712,RENEW,,03/15/2013,04/15/2013,N,05/16/2013,05/15/2015,04/30/2013,05/01/2013,AAI,,,41.894645646,-87.63678754,"(41.8946456460705, -87.63678754035266)"
80712-20050516,1587021,67774,2,NACIONAL LLC,NACIONAL 27 / TALLBOY TACO,325 W HURON ST,CHICAGO,IL,60610,42,68,42-68,18,1050,Public Place of Amusement,743,Provides Onsite Amusement or Entertainment,80712,RENEW,,03/23/2005,04/25/2005,N,05/16/2005,05/15/2006,05/04/2005,05/05/2005,AAI,,,41.894645646,-87.63678754,"(41.8946456460705, -87.63678754035266)"
80712-20150516,2387436,67774,2,NACIONAL LLC,NACIONAL 27 / TALLBOY TACO,325 W HURON ST,CHICAGO,IL,60610,42,68,42-68,18,1050,Public Place of Amusement,743,Provides Onsite Amusement or Entertainment,80712,RENEW,,03/15/2015,04/09/2015,N,05/16/2015,05/15/2017,04/27/2015,04/28/2015,AAI,,,41.894645646,-87.63678754,"(41.8946456460705, -87.63678754035266)"
80712-20040516,1485512,67774,2,NACIONAL LLC,NACIONAL 27 / TALLBOY TACO,325 W HURON ST,CHICAGO,IL,60610,42,68,42-68,18,1050,Public Place of Amusement,743,Provides Onsite Amusement or Entertainment,80712,RENEW,,03/17/2004,05/03/2004,N,05/16/2004,05/15/2005,05/03/2004,05/03/2004,AAI,,,41.894645646,-87.63678754,"(41.8946456460705, -87.63678754035266)"
80711-20170516,2519010,67774,2,NACIONAL LLC,NACIONAL 27 / TALLBOY TACO,325 W HURON ST,CHICAGO,IL,60610,42,68,42-68,18,1006,Retail Food Establishment,775,Retail Sales of Perishable Foods,80711,RENEW,,03/15/2017,04/27/2017,N,05/16/2017,05/15/2019,04/27/2017,04/28/2017,AAI,,,41.894645646,-87.63678754,"(41.8946456460705, -87.63678754035266)"
80711-20110516,2085995,67774,2,NACIONAL LLC,NACIONAL 27 / TALLBOY TACO,325 W HURON ST,CHICAGO,IL,60610,42,68,42-68,18,1006,Retail Food Establishment,775,Retail Sales of Perishable Foods,80711,RENEW,,03/15/2011,04/21/2011,N,05/16/2011,05/15/2013,04/21/2011,04/21/2011,AAI,,,41.894645646,-87.63678754,"(41.8946456460705, -87.63678754035266)"
80713-20110516,2085996,67774,2,NACIONAL LLC,NACIONAL 27 / TALLBOY TACO,325 W HURON ST,CHICAGO,IL,60610,42,68,42-68,18,1475,Consumption on Premises - Incidental Activity,638,Consumption of Liquor on Premises,80713,RENEW,,03/15/2011,04/21/2011,N,05/16/2011,05/15/2013,04/21/2011,04/21/2011,AAI,,,41.894645646,-87.63678754,"(41.8946456460705, -87.63678754035266)"
80713-20130516,2242222,67774,2,NACIONAL LLC,NACIONAL 27 / TALLBOY TACO,325 W HURON ST,CHICAGO,IL,60610,42,68,42-68,18,1475,Consumption on Premises - Incidental Activity,638,Consumption of Liquor on Premises,80713,RENEW,,03/15/2013,04/15/2013,N,05/16/2013,05/15/2015,04/15/2013,04/16/2013,AAI,,,41.894645646,-87.63678754,"(41.8946456460705, -87.63678754035266)"
80713-20090516,1961422,67774,2,NACIONAL LLC,NACIONAL 27 / TALLBOY TACO,325 W HURON ST,CHICAGO,IL,60610,42,68,42-68,18,1475,Consumption on Premises - Incidental Activity,638,Consumption of Liquor on Premises,80713,RENEW,,03/16/2009,04/13/2009,N,05/16/2009,05/15/2011,04/13/2009,04/13/2009,AAI,,,41.894645646,-87.63678754,"(41.8946456460705, -87.63678754035266)"
80711-20150516,2387438,67774,2,NACIONAL LLC,NACIONAL 27 / TALLBOY TACO,325 W HURON ST,CHICAGO,IL,60610,42,68,42-68,18,1006,Retail Food Establishment,775,Retail Sales of Perishable Foods,80711,RENEW,,03/15/2015,04/09/2015,N,05/16/2015,05/15/2017,04/09/2015,04/10/2015,AAI,,,41.894645646,-87.63678754,"(41.8946456460705, -87.63678754035266)"
80712-20110516,2085997,67774,2,NACIONAL LLC,NACIONAL 27 / TALLBOY TACO,325 W HURON ST,CHICAGO,IL,60610,42,68,42-68,18,1050,Public Place of Amusement,743,Provides Onsite Amusement or Entertainment,80712,RENEW,,03/15/2011,04/21/2011,N,05/16/2011,05/15/2013,04/29/2011,05/02/2011,AAI,,,41.894645646,-87.63678754,"(41.8946456460705, -87.63678754035266)"
80712-20070516,1811009,67774,2,NACIONAL LLC,NACIONAL 27 / TALLBOY TACO,325 W HURON ST,CHICAGO,IL,60610,42,68,42-68,18,1050,Public Place of Amusement,743,Provides Onsite Amusement or Entertainment,80712,RENEW,,03/23/2007,05/02/2007,N,05/16/2007,05/15/2009,05/02/2007,05/03/2007,AAI,,,41.894645646,-87.63678754,"(41.8946456460705, -87.63678754035266)"
80711-20070516,1811007,67774,2,NACIONAL LLC,NACIONAL 27 / TALLBOY TACO,325 W HURON ST,CHICAGO,IL,60610,42,68,42-68,18,1006,Retail Food Establishment,775,Retail Sales of Perishable Foods,80711,RENEW,,03/23/2007,05/02/2007,N,05/16/2007,05/15/2009,05/02/2007,05/03/2007,AAI,,,41.894645646,-87.63678754,"(41.8946456460705, -87.63678754035266)"
80711-20020516,1241081,67774,2,NACIONAL LLC,NACIONAL 27 / TALLBOY TACO,325 W HURON ST,CHICAGO,IL,60610,42,68,42-68,18,1006,Retail Food Establishment,775,Retail Sales of Perishable Foods,80711,RENEW,03/27/2002,05/06/2002,05/08/2002,N,05/16/2002,05/15/2003,05/08/2002,05/09/2002,AAI,,,41.894645646,-87.63678754,"(41.8946456460705, -87.63678754035266)"
80713-20190516,2654260,67774,2,NACIONAL LLC,NACIONAL 27 / TALLBOY TACO,325 W HURON ST,CHICAGO,IL,60610,42,68,42-68,18,1475,Consumption on Premises - Incidental Activity,638,Consumption of Liquor on Premises,80713,RENEW,,03/15/2019,04/26/2019,N,05/16/2019,05/15/2021,04/26/2019,04/29/2019,AAI,,,41.894645646,-87.63678754,"(41.8946456460705, -87.63678754035266)"
80711-20030516,1349705,67774,2,NACIONAL LLC,NACIONAL 27 / TALLBOY TACO,325 W HURON ST,CHICAGO,IL,60610,42,68,42-68,18,1006,Retail Food Establishment,775,Retail Sales of Perishable Foods,80711,RENEW,03/25/2003,05/02/2003,05/02/2003,N,05/16/2003,05/15/2004,05/02/2003,05/02/2003,AAI,,,41.894645646,-87.63678754,"(41.8946456460705, -87.63678754035266)"
80712-20170516,2519009,67774,2,NACIONAL LLC,NACIONAL 27 / TALLBOY TACO,325 W HURON ST,CHICAGO,IL,60610,42,68,42-68,18,1050,Public Place of Amusement,743,Provides Onsite Amusement or Entertainment,80712,RENEW,,03/15/2017,04/27/2017,N,05/16/2017,05/15/2019,05/19/2017,05/19/2017,AAI,,,41.894645646,-87.63678754,"(41.8946456460705, -87.63678754035266)"
80713-20021116,1292619,67774,2,NACIONAL LLC,NACIONAL 27 / TALLBOY TACO,325 W HURON ST,CHICAGO,IL,60610,42,68,42-68,18,1475,Consumption on Premises - Incidental Activity,638,Consumption of Liquor on Premises,80713,RENEW,09/24/2002,11/01/2002,11/01/2002,N,11/16/2002,05/15/2003,11/01/2002,11/01/2002,AAI,,,41.894645646,-87.63678754,"(41.8946456460705, -87.63678754035266)"
80713-20031116,1418420,67774,2,NACIONAL LLC,NACIONAL 27 / TALLBOY TACO,325 W HURON ST,CHICAGO,IL,60610,42,68,42-68,18,1475,Consumption on Premises - Incidental Activity,638,Consumption of Liquor on Premises,80713,RENEW,,09/26/2003,10/29/2003,N,11/16/2003,05/15/2004,10/29/2003,10/29/2003,AAI,,,41.894645646,-87.63678754,"(41.8946456460705, -87.63678754035266)"
80713-20030516,1349704,67774,2,NACIONAL LLC,NACIONAL 27 / TALLBOY TACO,325 W HURON ST,CHICAGO,IL,60610,42,68,42-68,18,1475,Consumption on Premises - Incidental Activity,638,Consumption of Liquor on Premises,80713,RENEW,03/25/2003,05/02/2003,05/02/2003,N,05/16/2003,11/15/2003,05/02/2003,05/02/2003,AAI,,,41.894645646,-87.63678754,"(41.8946456460705, -87.63678754035266)"
80713-20050516,1587023,67774,2,NACIONAL LLC,NACIONAL 27 / TALLBOY TACO,325 W HURON ST,CHICAGO,IL,60610,42,68,42-68,18,1475,Consumption on Premises - Incidental Activity,638,Consumption of Liquor on Premises,80713,RENEW,,03/23/2005,04/25/2005,N,05/16/2005,05/15/2006,04/25/2005,04/25/2005,AAI,,,41.894645646,-87.63678754,"(41.8946456460705, -87.63678754035266)"
80711-20040516,1485513,67774,2,NACIONAL LLC,NACIONAL 27 / TALLBOY TACO,325 W HURON ST,CHICAGO,IL,60610,42,68,42-68,18,1006,Retail Food Establishment,775,Retail Sales of Perishable Foods,80711,RENEW,,03/17/2004,05/03/2004,N,05/16/2004,05/15/2005,05/03/2004,05/03/2004,AAI,,,41.894645646,-87.63678754,"(41.8946456460705, -87.63678754035266)"
80713-20170516,2519011,67774,2,NACIONAL LLC,NACIONAL 27 / TALLBOY TACO,325 W HURON ST,CHICAGO,IL,60610,42,68,42-68,18,1475,Consumption on Premises - Incidental Activity,638,Consumption of Liquor on Premises,80713,RENEW,,03/15/2017,04/27/2017,N,05/16/2017,05/15/2019,04/27/2017,04/28/2017,AAI,,,41.894645646,-87.63678754,"(41.8946456460705, -87.63678754035266)"
80711-20130516,2242221,67774,2,NACIONAL LLC,NACIONAL 27 / TALLBOY TACO,325 W HURON ST,CHICAGO,IL,60610,42,68,42-68,18,1006,Retail Food Establishment,775,Retail Sales of Perishable Foods,80711,RENEW,,03/15/2013,04/15/2013,N,05/16/2013,05/15/2015,04/15/2013,04/16/2013,AAI,,,41.894645646,-87.63678754,"(41.8946456460705, -87.63678754035266)"
80713-20020516,1241083,67774,2,NACIONAL LLC,NACIONAL 27 / TALLBOY TACO,325 W HURON ST,CHICAGO,IL,60610,42,68,42-68,18,1475,Consumption on Premises - Incidental Activity,638,Consumption of Liquor on Premises,80713,RENEW,03/27/2002,05/06/2002,05/08/2002,N,05/16/2002,11/15/2002,05/08/2002,05/09/2002,AAI,,,41.894645646,-87.63678754,"(41.8946456460705, -87.63678754035266)"
80711-20090516,1961421,67774,2,NACIONAL LLC,NACIONAL 27 / TALLBOY TACO,325 W HURON ST,CHICAGO,IL,60610,42,68,42-68,18,1006,Retail Food Establishment,775,Retail Sales of Perishable Foods,80711,RENEW,,03/16/2009,04/13/2009,N,05/16/2009,05/15/2011,04/13/2009,04/13/2009,AAI,,,41.894645646,-87.63678754,"(41.8946456460705, -87.63678754035266)"
80713-20040516,1485514,67774,2,NACIONAL LLC,NACIONAL 27 / TALLBOY TACO,325 W HURON ST,CHICAGO,IL,60610,42,68,42-68,18,1475,Consumption on Premises - Incidental Activity,638,Consumption of Liquor on Premises,80713,RENEW,,03/17/2004,05/03/2004,N,05/16/2004,05/15/2005,05/03/2004,05/03/2004,AAI,,,41.894645646,-87.63678754,"(41.8946456460705, -87.63678754035266)"
80711-20190516,2654259,67774,2,NACIONAL LLC,NACIONAL 27 / TALLBOY TACO,325 W HURON ST,CHICAGO,IL,60610,42,68,42-68,18,1006,Retail Food Establishment,775,Retail Sales of Perishable Foods,80711,RENEW,,03/15/2019,04/26/2019,N,05/16/2019,05/15/2021,04/26/2019,04/29/2019,AAI,,,41.894645646,-87.63678754,"(41.8946456460705, -87.63678754035266)"
1892687-20080408,1892687,67774,2,NACIONAL LLC,NACIONAL 27 / TALLBOY TACO,325 W HURON ST,CHICAGO,IL,60610,42,68,42-68,18,1016,Retail Food Est.-Supplemental License for Dog-Friendly Areas,,,1892687,ISSUE,03/04/2008,04/08/2008,04/08/2008,N,04/08/2008,05/15/2009,04/08/2008,04/08/2008,AAI,,,41.894645646,-87.63678754,"(41.8946456460705, -87.63678754035266)"
